,Speaker Party,Speaker,"('allgemein', 'volksinitiativ')","('antrag', 'kommission')","('antrag', 'mehrheit')","('antrag', 'mind')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'or')","('aussenpolit', 'kommission')","('bilateral', 'abkomm')","('bitt', 'antrag')","('bitt', 'deshalb')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesrat', 'villig')","('d', 'h')","('darum', 'geht')","('de', 'dardel')","('drei', 'jahr')","('einseit', 'massnahm')","('erneuerbar', 'energi')","('europa', 'union')","('flankier', 'massnahm')","('flughaf', 'zurich')","('folg', 'geb')","('frag', 'herrn')","('fried', 'sicherheitspolit')","('ganz', 'klar')","('ganz', 'schweiz')","('ganz', 'wichtig')","('geht', 'darum')","('geltend', 'recht')","('gemass', 'artikel')","('herr', 'kolleg')","('herr', 'schluer')","('initiativ', 'folg')","('inn', 'sich')","('kanton', 'uri')","('kanton', 'zurich')","('kenntnis', 'nehm')","('kommission', 'beantragt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('konstruktiv', 'referendum')","('konsumentinn', 'konsument')","('mehr', 'benotigt')","('mehr', 'geld')","('mehrheit', 'kommission')","('mehrheit', 'svpfraktion')","('mieterinn', 'miet')","('million', 'frank')","('mind', 'i')","('mind', 'ii')","('mocht', 'daran')","('nach', 'jahr')","('nam', 'kommission')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('neu', 'steu')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('pro', 'helvetia')","('pro', 'jahr')","('servic', 'public')","('spfraktion', 'bitt')","('spfraktion', 'mocht')","('spfraktion', 'unterstutzt')","('st', 'gall')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'stimmt')","('svpfraktion', 'unterstutzt')","('uns', 'kommission')","('vier', 'jahr')","('vorstoss', 'rahm')","('zweit', 'etapp')","('zweit', 'saul')"
10,Schweizerische Volkspartei (SVP),Hannes Germann,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,1,0,0,2,0,0,1,1,0,0,0,0,1,0,1,1,2,4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,3,2,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2
11,Schweizerische Volkspartei (SVP),Hans Fehr,6,0,0,0,0,0,7,0,0,1,0,2,1,0,1,0,3,2,4,0,0,0,1,0,0,6,0,0,2,1,0,5,2,3,0,0,4,0,0,1,5,0,0,2,6,0,0,0,0,0,0,12,0,2,2,0,0,0,1,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,Schweizerische Volkspartei (SVP),Hans Hofmann,0,4,3,5,7,0,0,17,0,1,0,5,14,7,3,3,11,0,0,8,0,1,3,1,5,8,0,0,13,3,0,1,0,2,1,0,8,0,1,28,1,2,0,6,0,0,4,0,5,0,0,34,3,1,0,3,0,0,0,0,0,18,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,16,16,0,0,0
13,Schweizerische Volkspartei (SVP),Hans Kaufmann,0,0,0,2,0,0,0,2,0,0,0,0,1,3,0,1,12,2,0,0,0,0,0,0,0,10,0,0,4,0,0,2,0,0,0,0,3,1,0,2,4,0,0,0,0,0,2,0,0,1,0,69,0,1,0,10,0,0,2,4,7,5,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1
14,Schweizerische Volkspartei (SVP),Hans Lauri,0,4,5,9,1,0,0,6,2,0,0,5,0,12,3,2,4,4,0,6,0,0,0,0,0,3,0,0,5,0,0,4,0,4,4,0,1,1,0,0,7,1,0,2,0,0,0,0,6,0,0,47,6,1,0,3,0,0,0,1,2,1,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0
15,Schweizerische Volkspartei (SVP),Hans Ulrich Mathys,0,1,1,2,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,4,0,2,0,0,0,0,4,0,0,52,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,1,0,0,0
16,Schweizerische Volkspartei (SVP),Hansjörg Walter,0,2,1,9,0,0,0,1,0,0,1,6,3,2,0,1,4,0,0,0,0,0,0,2,0,1,1,0,3,1,1,4,1,0,1,0,1,0,0,0,8,4,1,0,0,2,0,1,3,2,0,48,1,1,0,6,0,0,1,1,1,3,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,0,1,0
17,Schweizerische Volkspartei (SVP),Hanspeter Seiler,0,3,8,21,4,0,0,32,0,1,0,2,1,3,0,5,2,0,2,3,0,0,1,0,0,13,0,0,3,1,0,3,2,9,1,2,9,0,0,1,6,33,0,2,1,0,0,1,5,0,0,6,12,12,0,1,4,0,0,0,0,16,1,3,12,0,0,0,2,5,0,0,0,0,5,0,0,0,1,2,9,33,0,0
18,Schweizerische Volkspartei (SVP),Hansruedi Wandfluh,0,0,1,8,0,1,0,2,0,0,0,5,4,3,0,0,0,3,0,0,0,0,0,1,0,2,0,0,10,0,0,4,1,1,2,0,2,0,0,1,0,0,0,0,0,4,1,3,4,8,0,38,4,9,0,0,1,0,5,0,0,4,0,3,0,0,0,0,0,3,0,0,0,2,1,3,1,0,1,0,2,0,0,2
19,Schweizerische Volkspartei (SVP),Hermann Bürgi,0,6,8,14,2,0,1,63,3,0,3,0,0,7,1,14,14,10,0,1,0,2,0,0,2,7,0,0,18,0,2,19,8,13,11,0,6,2,0,4,30,2,3,27,0,2,0,1,11,0,0,59,0,3,2,5,0,0,0,0,5,8,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0
