,Phrase,Counts,Freq,N,tf_idf
379,"('geht', 'geht')",177,9,15,90.41613540658035
263,"('klar', 'meinung')",222,9,15,90.0132540000125
746,"('glaub', 'wichtig')",118,7,15,89.93252614153381
382,"('jahr', 'million')",176,9,15,89.90530978281437
538,"('absatz', 'mind')",143,11,15,89.89103829739949
171,"('bundesrat', 'botschaft')",289,12,15,89.6347742798096
172,"('administrativ', 'aufwand')",289,10,15,89.6347742798096
383,"('jahr', 'spat')",175,8,15,89.39448415904837
384,"('viel', 'mensch')",175,9,15,89.39448415904837
540,"('gibt', 'imm')",142,10,15,89.26242963797712
541,"('kanton', 'aargau')",142,9,15,89.26242963797712
388,"('letzt', 'zehn')",174,10,15,88.88365853528238
1031,"('kanton', 'luz')",97,5,15,88.88020099179305
270,"('kommission', 'einstimm')",219,8,15,88.796858675688
272,"('ziel', 'erreich')",219,8,15,88.796858675688
273,"('gross', 'bedeut')",219,11,15,88.796858675688
551,"('ganz', 'besond')",141,9,15,88.63382097855475
553,"('viel', 'leut')",141,10,15,88.63382097855475
560,"('acht', 'jahr')",141,9,15,88.63382097855475
1878,"('kommission', 'bereit')",67,7,15,88.55764127881541
2569,"('ballist', 'korperschutz')",55,5,15,88.51908518387552
769,"('kanton', 'moglich')",116,8,15,88.40824603744002
274,"('ja', 'nein')",218,9,15,88.39139356757984
392,"('bundesrat', 'sagt')",173,8,15,88.3728329115164
562,"('word', 'war')",140,9,15,88.00521231913237
564,"('parlament', 'bundesrat')",140,10,15,88.00521231913237
565,"('pro', 'monat')",140,8,15,88.00521231913237
567,"('uns', 'gesellschaft')",140,10,15,88.00521231913237
571,"('kanton', 'wallis')",140,10,15,88.00521231913237
276,"('entsprech', 'antrag')",217,8,15,87.98592845947167
397,"('erinner', 'ruf')",172,9,15,87.8620072877504
398,"('postulat', 'anzunehm')",172,10,15,87.8620072877504
399,"('diskussion', 'fuhr')",172,7,15,87.8620072877504
780,"('standerat', 'beschloss')",115,9,15,87.64610598539312
278,"('mocht', 'bundesrat')",216,8,15,87.5804633513635
181,"('buchstab', 'a')",282,12,15,87.46368978168273
575,"('deshalb', 'mind')",139,10,15,87.37660365971
577,"('gibt', 'ganz')",139,8,15,87.37660365971
280,"('leutenegg', 'oberholz')",215,8,15,87.17499824325535
791,"('de', 'court')",114,9,15,86.88396593334623
792,"('pro', 'tag')",114,9,15,86.88396593334623
281,"('kommission', 'meinung')",214,13,15,86.76953313514719
5918,"('fall', 'moglich')",32,7,15,86.65760643527072
407,"('dreissig', 'jahr')",169,7,15,86.32953041645243
803,"('frag', 'geht')",113,9,15,86.12182588129933
581,"('beantrag', 'nam')",137,9,15,86.11938634086525
585,"('polit', 'entscheid')",137,10,15,86.11938634086525
284,"('darauf', 'aufmerksam')",212,7,15,85.95860291893085
186,"('bundesrat', 'motion')",277,9,15,85.91291514016353
187,"('flankier', 'massnahm')",277,11,15,85.91291514016353
412,"('prozent', 'mehr')",168,8,15,85.81870479268645
413,"('mind', 'iii')",168,9,15,85.81870479268645
