,Phrase,Counts,Freq,N,tf_idf
261,"('infrag', 'gestellt')",163.0,7.0,11,73.67357517011833
74,"('dafur', 'sorg')",367.0,9.0,11,73.6461452346095
679,"('motion', 'entgegenzunehm')",93.0,5.0,11,73.32653451387714
685,"('kanton', 'uri')",93.0,5.0,11,73.32653451387714
687,"('weit', 'vorgeh')",93.0,5.0,11,73.32653451387714
688,"('artikel', 'or')",93.0,5.0,11,73.32653451387714
263,"('bundesrat', 'antrag')",162.0,7.0,11,73.22159004637527
1053,"('herr', 'plattn')",72.0,4.0,11,72.83526564085055
1061,"('interkantonal', 'zusammenarbeit')",72.0,4.0,11,72.83526564085055
267,"('kraft', 'tret')",161.0,7.0,11,72.76960492263221
268,"('word', 'war')",161.0,7.0,11,72.76960492263221
1601,"('mehrheit', 'cvpfraktion')",56.0,3.0,11,72.7598471112946
1631,"('svpfraktion', 'bitt')",56.0,3.0,11,72.7598471112946
454,"('neu', 'steu')",120.0,6.0,11,72.73629642843785
696,"('frank', 'prozent')",92.0,5.0,11,72.53807715351286
143,"('ernst', 'nehm')",227.0,8.0,11,72.28899696390735
462,"('vollig', 'klar')",119.0,6.0,11,72.13016062486754
273,"('mocht', 'herrn')",159.0,7.0,11,71.8656346751461
1077,"('gegeb', 'zeit')",71.0,4.0,11,71.82366472917207
1082,"('bilateral', 'verhandl')",71.0,4.0,11,71.82366472917207
704,"('herrn', 'david')",91.0,5.0,11,71.7496197931486
709,"('herr', 'merz')",91.0,5.0,11,71.7496197931486
717,"('kommissionsmehr', 'zuzustimm')",91.0,5.0,11,71.7496197931486
144,"('verfug', 'steh')",225.0,8.0,11,71.65208950167029
145,"('geht', 'ja')",225.0,8.0,11,71.65208950167029
473,"('meinung', 'kommission')",118.0,6.0,11,71.52402482129723
475,"('ab', 'jahr')",118.0,6.0,11,71.52402482129723
476,"('international', 'organisation')",118.0,6.0,11,71.52402482129723
1639,"('etapp', 'bahn')",55.0,3.0,11,71.46056412716435
278,"('schlicht', 'einfach')",157.0,7.0,11,70.96166442765998
279,"('embryonal', 'stammzell')",157.0,7.0,11,70.96166442765998
281,"('kommission', 'bundesrat')",157.0,7.0,11,70.96166442765998
282,"('frank', 'jahr')",157.0,7.0,11,70.96166442765998
722,"('bundesamt', 'fluchtling')",90.0,5.0,11,70.96116243278432
479,"('darf', 'sag')",117.0,6.0,11,70.9178890177269
482,"('herrn', 'kolleg')",117.0,6.0,11,70.9178890177269
483,"('sicherheitspolit', 'kommission')",117.0,6.0,11,70.9178890177269
743,"('hess', 'han')",89.0,5.0,11,70.17270507242006
147,"('vergang', 'jahr')",220.0,8.0,11,70.05982084607761
284,"('klar', 'sag')",155.0,7.0,11,70.05769418017387
286,"('end', 'jahr')",155.0,7.0,11,70.05769418017387
1132,"('nationalrat', 'stimm')",69.0,4.0,11,69.80046290581511
1143,"('direkt', 'steu')",69.0,4.0,11,69.80046290581511
1156,"('herr', 'schweig')",69.0,4.0,11,69.80046290581511
148,"('gemass', 'antrag')",219.0,8.0,11,69.74136711495908
493,"('drei', 'grund')",115.0,6.0,11,69.70561741058629
290,"('zwei', 'grund')",154.0,7.0,11,69.60570905643081
292,"('roll', 'spiel')",154.0,7.0,11,69.60570905643081
500,"('wichtig', 'punkt')",114.0,6.0,11,69.09948160701596
1736,"('nationalrat', 'artikel')",53.0,3.0,11,68.86199815890383
1185,"('organisation', 'arbeitswelt')",68.0,4.0,11,68.78886199413662
151,"('arbeitnehmerinn', 'arbeitnehm')",216.0,8.0,11,68.78600592160348
299,"('neu', 'artikel')",152.0,7.0,11,68.7017388089447
300,"('kanton', 'tessin')",152.0,7.0,11,68.7017388089447
760,"('war', 'dankbar')",87.0,5.0,11,68.59579035169152
767,"('nach', 'generation')",87.0,5.0,11,68.59579035169152
505,"('strateg', 'ziel')",113.0,6.0,11,68.49334580344565
152,"('frank', 'mehr')",215.0,8.0,11,68.46755219048494
510,"('kommission', 'frag')",112.0,6.0,11,67.88720999987534
513,"('kommission', 'rat')",112.0,6.0,11,67.88720999987534
514,"('amtlich', 'bulletin')",112.0,6.0,11,67.88720999987534
154,"('auseinand', 'setz')",213.0,8.0,11,67.83064472824786
306,"('dreissig', 'jahr')",150.0,7.0,11,67.79776856145858
82,"('herrn', 'bundesrat')",337.0,9.0,11,67.62602437074497
158,"('bundesrat', 'couchepin')",212.0,8.0,11,67.51219099712934
310,"('kommission', 'nationalrat')",149.0,7.0,11,67.34578343771553
313,"('entsprech', 'antrag')",149.0,7.0,11,67.34578343771553
517,"('herr', 'leuenberg')",111.0,6.0,11,67.28107419630501
4911,"('svpfraktion', 'bittet')",28.0,1.0,11,67.14106763835437
792,"('vorstoss', 'motion')",85.0,5.0,11,67.01887563096297
797,"('bitt', 'kommission')",85.0,5.0,11,67.01887563096297
798,"('corporat', 'governanc')",85.0,5.0,11,67.01887563096297
805,"('heutig', 'debatt')",85.0,5.0,11,67.01887563096297
808,"('gemass', 'entwurf')",85.0,5.0,11,67.01887563096297
818,"('bitt', 'artikel')",85.0,5.0,11,67.01887563096297
819,"('kommission', 'mocht')",85.0,5.0,11,67.01887563096297
314,"('gesetz', 'regel')",148.0,7.0,11,66.89379831397247
315,"('bericht', 'bundesrat')",148.0,7.0,11,66.89379831397247
520,"('herr', 'strahm')",110.0,6.0,11,66.6749383927347
521,"('erst', 'lesung')",110.0,6.0,11,66.6749383927347
317,"('zentral', 'frag')",147.0,7.0,11,66.44181319022941
162,"('uns', 'sicht')",208.0,8.0,11,66.2383760726552
830,"('besteht', 'gefahr')",84.0,5.0,11,66.2304182705987
530,"('schmid', 'carlo')",109.0,6.0,11,66.06880258916439
533,"('natur', 'person')",109.0,6.0,11,66.06880258916439
534,"('herr', 'pfist')",109.0,6.0,11,66.06880258916439
536,"('bundesrat', 'bericht')",109.0,6.0,11,66.06880258916439
322,"('bitt', 'minderheitsantrag')",146.0,7.0,11,65.98982806648635
323,"('mehrheit', 'uns')",146.0,7.0,11,65.98982806648635
1276,"('herr', 'maiss')",65.0,4.0,11,65.7540592591012
1279,"('wurd', 'nationalrat')",65.0,4.0,11,65.7540592591012
1285,"('brunn', 'christian')",65.0,4.0,11,65.7540592591012
164,"('worum', 'geht')",206.0,8.0,11,65.60146861041812
165,"('uns', 'fraktion')",206.0,8.0,11,65.60146861041812
325,"('ganz', 'besond')",145.0,7.0,11,65.5378429427433
845,"('landlich', 'raum')",83.0,5.0,11,65.44196091023443
167,"('bundesrat', 'botschaft')",205.0,8.0,11,65.28301487929959
168,"('schon', 'lang')",205.0,8.0,11,65.28301487929959
1952,"('kolleg', 'plattn')",50.0,3.0,11,64.96414920651304
550,"('gemass', 'bundesrat')",107.0,6.0,11,64.85653098202376
2953,"('sursis', 'partiel')",38.0,2.0,11,64.78042750506016
5133,"('spfraktion', 'bitt')",27.0,1.0,11,64.743172365556
5166,"('svpfraktion', 'mind')",27.0,1.0,11,64.743172365556
1310,"('frau', 'leumann')",64.0,4.0,11,64.74245834742271
1315,"('motion', 'nationalrat')",64.0,4.0,11,64.74245834742271
855,"('ausfuhr', 'herrn')",82.0,5.0,11,64.65350354987017
864,"('mehr', 'benotigt')",82.0,5.0,11,64.65350354987017
865,"('organisiert', 'kriminalitat')",82.0,5.0,11,64.65350354987017
170,"('vorberat', 'kommission')",203.0,8.0,11,64.64610741706252
333,"('beitrag', 'leist')",143.0,7.0,11,64.63387269525718
173,"('bitt', 'mind')",202.0,8.0,11,64.32765368594399
556,"('entscheid', 'bundesrat')",106.0,6.0,11,64.25039517845345
174,"('mehr', 'moglich')",201.0,8.0,11,64.00919995482545
876,"('sicht', 'bundesrat')",81.0,5.0,11,63.86504618950589
878,"('bundesrat', 'entscheid')",81.0,5.0,11,63.86504618950589
880,"('zwei', 'bemerk')",81.0,5.0,11,63.86504618950589
90,"('davon', 'uberzeugt')",318.0,9.0,11,63.813281156964095
1337,"('probl', 'gelost')",63.0,4.0,11,63.730857435744234
1353,"('wert', 'darauf')",63.0,4.0,11,63.730857435744234
1361,"('nationalrat', 'fassung')",63.0,4.0,11,63.730857435744234
1363,"('kolleg', 'merz')",63.0,4.0,11,63.730857435744234
342,"('darub', 'diskuti')",141.0,7.0,11,63.72990244777107
175,"('wurd', 'kommission')",200.0,8.0,11,63.69074622370692
176,"('mocht', 'bundesrat')",200.0,8.0,11,63.69074622370692
177,"('klein', 'mittl')",200.0,8.0,11,63.69074622370692
562,"('zentral', 'punkt')",105.0,6.0,11,63.64425937488313
563,"('nehm', 'muss')",105.0,6.0,11,63.64425937488313
565,"('bezahl', 'muss')",105.0,6.0,11,63.64425937488313
569,"('darauf', 'zuruckkomm')",105.0,6.0,11,63.64425937488313
93,"('kenntnis', 'genomm')",316.0,9.0,11,63.411939766039794
178,"('mocht', 'sag')",199.0,8.0,11,63.372292492588386
345,"('klar', 'gesagt')",140.0,7.0,11,63.27791732402801
349,"('erst', 'frag')",140.0,7.0,11,63.27791732402801
350,"('dank', 'bundesrat')",140.0,7.0,11,63.27791732402801
895,"('herzlich', 'dank')",80.0,5.0,11,63.07658882914162
897,"('meinung', 'sei')",80.0,5.0,11,63.07658882914162
571,"('polit', 'recht')",104.0,6.0,11,63.03812357131281
576,"('darum', 'geh')",104.0,6.0,11,63.03812357131281
352,"('losung', 'gefund')",139.0,7.0,11,62.82593220028495
354,"('frag', 'herr')",139.0,7.0,11,62.82593220028495
183,"('einfach', 'sag')",197.0,8.0,11,62.73538503035132
185,"('gross', 'bedeut')",197.0,8.0,11,62.73538503035132
578,"('differenz', 'nationalrat')",103.0,6.0,11,62.4319877677425
580,"('neu', 'berufsbildungsgesetz')",103.0,6.0,11,62.4319877677425
586,"('stimm', 'abgelehnt')",103.0,6.0,11,62.4319877677425
186,"('gemacht', 'word')",196.0,8.0,11,62.41693129923278
2061,"('nationalrat', 'anzuschliess')",48.0,3.0,11,62.365583238252526
914,"('falsch', 'signal')",79.0,5.0,11,62.28813146877735
919,"('kommission', 'artikel')",79.0,5.0,11,62.28813146877735
928,"('ander', 'artikel')",79.0,5.0,11,62.28813146877735
189,"('indirekt', 'gegenvorschlag')",195.0,8.0,11,62.09847756811425
190,"('erst', 'mal')",195.0,8.0,11,62.09847756811425
