,Speaker Party,Phrase,Counts,Freq,N,tf_idf
87,Schweizerische Volkspartei (SVP),"('svpfraktion', 'empfiehlt')",20.0,1,11,47.95790545596741
95,Sozialdemokratische Partei der Schweiz (SP),"('bilateral', 'abkomm')",59.0,5,11,46.518984261491944
99,Sozialdemokratische Partei der Schweiz (SP),"('flughaf', 'zurich')",76.0,6,11,46.06632107134398
101,Sozialdemokratische Partei der Schweiz (SP),"('fried', 'sicherheitspolit')",27.0,2,11,46.02819849043748
103,Sozialdemokratische Partei der Schweiz (SP),"('erneuerbar', 'energi')",101.0,7,11,45.65049749804878
104,Schweizerische Volkspartei (SVP),"('herr', 'kolleg')",101.0,7,11,45.65049749804878
111,Sozialdemokratische Partei der Schweiz (SP),"('bitt', 'antrag')",140.0,8,11,44.58352235659484
112,Schweizerische Volkspartei (SVP),"('aussenpolit', 'kommission')",44.0,4,11,44.510440113853114
113,Sozialdemokratische Partei der Schweiz (SP),"('herr', 'schluer')",98.0,7,11,44.29454212681961
118,Sozialdemokratische Partei der Schweiz (SP),"('kanton', 'zurich')",96.0,7,11,43.39057187933349
120,Schweizerische Volkspartei (SVP),"('svpfraktion', 'mehrheit')",33.0,3,11,42.876338476298606
127,Schweizerische Volkspartei (SVP),"('mehrheit', 'kommission')",208.0,9,11,41.73950465612746
132,Sozialdemokratische Partei der Schweiz (SP),"('bundesamt', 'justiz')",41.0,4,11,41.47563737881767
134,Schweizerische Volkspartei (SVP),"('mind', 'ii')",130.0,8,11,41.398985045409496
135,Schweizerische Volkspartei (SVP),"('mind', 'i')",205.0,9,11,41.137492569741006
136,Schweizerische Volkspartei (SVP),"('uns', 'kommission')",91.0,7,11,41.13064626061821
142,Sozialdemokratische Partei der Schweiz (SP),"('konstruktiv', 'referendum')",52.0,5,11,40.99978273894205
145,Sozialdemokratische Partei der Schweiz (SP),"('desweg', 'mocht')",24.0,2,11,40.91395421372221
146,Schweizerische Volkspartei (SVP),"('svpfraktion', 'beantragt')",24.0,2,11,40.91395421372221
