,Speaker Party,Speaker,"('ablehn', 'motion')","('absatz', 'buchstab')","('administrativ', 'aufwand')","('all', 'grund')","('annahm', 'motion')","('antrag', 'kommission')","('antrag', 'mehrheit')","('antrag', 'mind')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('art', 'weis')","('artikel', 'absatz')","('ausricht', 'antrag')","('beantrag', 'nam')","('bereit', 'erwahnt')","('bericht', 'kommission')","('big', 'to')","('bitt', 'deshalb')","('bitt', 'mehrheit')","('bitt', 'nam')","('bund', 'kanton')","('bundesrat', 'beantragt')","('bundesrat', 'folg')","('bundesrat', 'leuenberg')","('bundesratin', 'widmerschlumpf')","('burg', 'partei')","('burgerinn', 'burg')","('dam', 'herr')","('darauf', 'aufmerksam')","('darauf', 'hingewies')","('darauf', 'hinweis')","('darum', 'bitt')","('deshalb', 'bitt')","('direkt', 'bundessteu')","('direkt', 'demokrati')","('direkt', 'gegenvorschlag')","('drei', 'jahr')","('eidgenoss', 'steuerverwalt')","('einfach', 'sag')","('erneuerbar', 'energi')","('erst', 'lini')","('europa', 'union')","('fdpliberal', 'fraktion')","('flankier', 'massnahm')","('folg', 'geb')","('frag', 'stell')","('fraktion', 'cvpevpglpfraktion')","('frank', 'pro')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'meierschatz')","('ganz', 'klar')","('geh', 'davon')","('geht', 'darum')","('geltend', 'recht')","('gemass', 'artikel')","('herr', 'bundesprasident')","('herr', 'bundesrat')","('herr', 'kolleg')","('herr', 'spuhl')","('hoh', 'vergut')","('indirekt', 'gegenvorschlag')","('initiativ', 'folg')","('interess', 'daran')","('ja', 'nein')","('ja', 'schon')","('jurist', 'person')","('kalt', 'progression')","('kanton', 'gemeind')","('kenntnis', 'genomm')","('kenntnis', 'nehm')","('klar', 'meinung')","('kommission', 'beantragt')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('konsumentinn', 'konsument')","('lasst', 'ausricht')","('letzt', 'jahr')","('letzt', 'mal')","('letzt', 'woch')","('leutenegg', 'oberholz')","('losung', 'find')","('macht', 'sinn')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'svpfraktion')","('mieterinn', 'miet')","('milliard', 'frank')","('million', 'frank')","('mind', 'folg')","('mind', 'i')","('mind', 'ii')","('mocht', 'darauf')","('mocht', 'einfach')","('motion', 'abzulehn')","('motion', 'anzunehm')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'folg')","('neu', 'unternehmenssteu')","('offent', 'hand')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('polit', 'entscheid')","('pro', 'helvetia')","('pro', 'jahr')","('richterinn', 'richt')","('rund', 'milliard')","('sag', 'ja')","('sbb', 'cargo')","('schriftlich', 'bericht')","('seit', 'fahn')","('sicherheitspolit', 'bericht')","('sicht', 'bundesrat')","('sicht', 'spfraktion')","('sozialdemokratinn', 'sozialdemokrat')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'klar')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('staatspolit', 'kommission')","('stell', 'fest')","('stimm', 'enthalt')","('svpfraktion', 'beantrag')","('svpfraktion', 'beantragt')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'eintret')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'unterstutzt')","('to', 'fail')","('too', 'big')","('uns', 'kommission')","('uns', 'meinung')","('unterstutzt', 'antrag')","('unterstutzt', 'spfraktion')","('vorlag', 'einzutret')","('z', 'b')","('zehn', 'jahr')","('zwei', 'drei')"
29,Schweizerische Volkspartei (SVP),Jürg Stahl,0,1,1,0,1,3,3,9,0,0,0,11,0,3,0,0,0,0,6,10,0,1,1,0,0,0,1,0,0,2,0,6,0,0,0,1,5,0,0,0,0,0,1,0,4,0,0,0,0,1,0,2,0,0,2,7,2,0,1,3,0,0,0,1,2,0,0,0,0,0,2,0,7,0,2,0,4,0,0,1,0,0,0,1,2,6,26,1,0,5,3,1,3,1,0,0,0,2,0,12,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,4,0,0,3,2,6,0,0,4,0,1,0,3,0,3,2
30,Schweizerische Volkspartei (SVP),Lieni Füglistaller,2,13,1,0,4,3,6,31,1,0,1,20,0,0,1,0,0,12,7,3,5,1,4,1,0,0,1,0,0,5,0,2,22,3,1,0,4,0,2,0,3,0,0,0,3,4,0,1,0,7,0,5,0,1,2,1,0,6,2,9,1,0,0,0,1,0,0,0,1,0,1,0,6,1,3,0,2,0,0,9,0,4,0,1,1,15,14,2,0,43,96,3,10,15,0,0,3,1,0,9,0,0,2,1,6,1,0,1,3,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,1,6,0,0,0,3,3,0,0,3,9,0,0,3,0,3,2
31,Schweizerische Volkspartei (SVP),Lukas Reimann,0,0,0,0,2,0,0,3,1,0,0,5,0,0,0,0,0,8,0,0,2,0,0,0,0,0,4,0,0,1,0,0,1,0,6,0,0,0,2,0,1,2,0,0,1,0,0,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
32,Schweizerische Volkspartei (SVP),Luzi Stamm,0,4,0,0,0,4,9,25,3,0,1,8,0,0,1,0,0,11,1,1,1,0,3,0,3,1,1,0,7,6,0,0,18,1,18,7,6,1,2,0,3,1,0,2,9,3,0,1,2,35,0,12,0,6,0,4,7,3,1,2,23,0,0,18,8,1,7,2,13,0,0,2,0,0,3,12,3,0,0,7,3,1,6,1,2,2,18,0,0,5,21,2,11,9,2,0,0,0,0,2,0,0,0,0,17,0,0,0,3,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,1,0,1,1,0,0,0,0,2,0,0,0,2,25,2,9
33,Schweizerische Volkspartei (SVP),Marcel Scherer,0,0,0,0,2,1,0,5,0,1,0,3,0,0,0,0,0,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,7,9,0,2,0,1,0,0,0,2,2,6,7,0,0,2,5,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,1,0,0,0,4,12,0,0,1,13,0,2,3,0,0,0,2,0,4,0,0,0,0,15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,1,3,0,0,0,0,0,0,0,1,1,0,0
34,Schweizerische Volkspartei (SVP),Max Binder,0,11,0,0,0,1,5,30,1,0,6,30,0,2,1,1,0,0,6,3,3,0,1,15,0,0,0,0,1,5,0,1,7,0,0,0,2,0,4,0,2,0,1,0,3,4,0,2,0,18,0,3,2,10,6,14,4,3,4,31,4,0,0,0,0,0,4,0,1,0,0,6,3,7,14,0,6,0,0,7,0,2,0,3,6,19,15,3,0,26,34,2,18,11,0,0,0,1,0,2,0,0,0,20,13,0,1,0,3,0,2,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,12,12,0,0,0,0,0,2,0,2,0,0,2,2,1,0,2,6,5,1
35,Schweizerische Volkspartei (SVP),Maximilian Reimann,1,0,0,0,1,1,2,3,19,0,8,1,0,0,2,1,1,5,0,0,4,1,1,1,0,0,2,0,0,8,0,1,10,0,5,7,6,3,4,1,12,2,0,3,8,3,0,1,6,50,2,3,0,14,2,0,1,4,7,55,7,0,0,6,5,0,2,3,1,0,6,2,15,0,0,2,2,0,0,12,3,9,0,3,5,0,5,0,0,12,24,1,0,3,0,6,2,0,0,0,0,0,2,1,15,0,0,0,3,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,0,0,0,0,0,0,0,0,1,1,8,0,0,0,2,3,3,9
36,Schweizerische Volkspartei (SVP),Natalie Rickli,0,0,0,5,2,0,0,5,0,0,0,2,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,9,0,0,0,1,0,0,0,4,1,0,5,1,8,0,1,0,0,0,0,2,1,0,4,0,0,0,0,2,1,0,1,0,0,0,0,1,1,4,1,1,1,0,4,0,1,0,1,2,0,0,0,0,6,16,0,0,0,1,0,5,0,0,1,1,0,0,0,9,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1
37,Schweizerische Volkspartei (SVP),Oskar Freysinger,0,1,0,1,1,0,0,6,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,10,4,0,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,3,1,0,1,3,0,0,0,3,0,5,1,0,0,0,1,0,1,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,1
38,Schweizerische Volkspartei (SVP),Peter Föhn,0,1,0,0,0,0,0,2,0,2,0,8,0,0,0,0,0,0,0,1,1,0,1,3,0,0,1,1,0,0,1,0,4,0,1,1,1,0,3,0,0,0,0,0,3,1,0,0,0,6,0,1,0,6,0,1,2,0,0,16,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,10,0,0,0,0,0,0,0,1,0,1,19,1,4,3,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4
39,Schweizerische Volkspartei (SVP),Peter Spuhler,0,1,1,0,0,0,2,10,0,0,0,6,0,0,7,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,1,0,3,0,1,1,7,0,1,6,1,0,0,3,0,2,0,1,1,8,3,12,7,0,0,0,0,0,0,0,1,2,3,1,0,1,0,0,0,4,0,0,0,0,0,4,0,0,7,0,0,1,8,1,0,17,10,1,0,2,1,1,0,0,0,1,0,0,0,0,7,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,3,0,0,0,0,1,0,2,0,4,5
40,Schweizerische Volkspartei (SVP),Pirmin Schwander,1,5,4,19,1,0,4,36,1,0,9,51,0,18,3,0,2,30,6,24,16,3,3,1,5,3,7,0,4,10,1,2,13,3,0,3,7,1,1,0,6,1,0,0,16,2,0,7,1,31,0,7,0,17,5,27,22,10,2,8,14,0,5,7,13,0,4,1,14,0,7,0,5,12,0,10,0,4,0,13,1,3,3,3,0,14,3,4,0,67,91,28,20,23,0,3,4,1,0,34,0,0,3,0,31,0,0,0,17,7,3,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,3,4,2,0,3,5,5,6,2,2,1,21,0,0,15,15,11,8
41,Schweizerische Volkspartei (SVP),Roland F. Borer,0,1,0,3,2,0,6,6,7,4,8,8,0,0,0,0,0,1,2,0,4,2,1,1,0,1,1,5,1,3,10,0,0,0,0,0,2,0,1,0,0,0,2,0,3,1,0,1,1,9,0,14,0,3,0,10,0,0,8,15,14,0,0,0,1,0,4,2,0,0,0,0,0,1,1,0,1,0,0,4,1,1,0,0,2,3,1,1,0,4,5,0,6,5,5,0,2,5,0,4,0,0,0,0,4,1,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9,1,1
42,Schweizerische Volkspartei (SVP),Roland Rino Büchel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,Schweizerische Volkspartei (SVP),Rudolf Joder,1,2,1,0,2,0,2,7,0,0,1,11,0,2,3,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,4,0,1,0,2,0,0,0,3,0,10,3,3,1,2,0,0,0,0,7,0,6,0,0,0,0,0,0,2,1,1,3,0,0,0,0,0,0,0,2,0,8,0,0,2,9,1,0,1,0,0,0,2,0,5,0,0,0,0,22,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,3,2,0
44,Schweizerische Volkspartei (SVP),Sebastian Frehner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,Schweizerische Volkspartei (SVP),Simon Schenk,4,11,5,3,1,2,3,9,1,0,2,28,0,0,0,0,0,0,0,15,2,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,2,0,0,0,15,1,0,0,1,0,0,2,1,3,0,2,0,1,2,5,0,2,0,1,1,0,0,0,0,0,2,2,0,0,0,4,2,0,0,0,1,1,0,4,0,1,0,0,1,0,3,6,0,0,12,0,8,4,0,0,9,0,0,33,0,0,1,1,8,0,0,6,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,32,0,2,4,0,0,0,0,2,1,0,0,2,1,1,1
46,Schweizerische Volkspartei (SVP),Sylvia Flückiger-Bäni,1,1,5,0,0,0,2,8,1,3,2,18,0,0,1,0,0,0,0,0,2,0,1,0,0,1,2,0,1,1,1,0,3,7,0,0,1,2,0,0,0,0,0,0,9,0,0,3,2,2,0,0,0,0,3,2,1,5,2,4,5,0,0,0,4,0,0,0,1,0,3,1,0,0,1,0,0,1,0,3,0,2,2,1,0,2,0,0,0,11,16,0,3,1,0,0,1,0,0,7,0,0,1,0,22,0,1,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,1,0,3,1,1,0,0,1,0,0,0,1,0,0,0,4,2,1
47,Schweizerische Volkspartei (SVP),Theophil Pfister,2,3,0,0,1,1,5,20,0,0,6,23,0,6,1,0,0,2,2,9,7,1,5,0,0,0,0,0,2,0,1,0,0,0,4,0,5,0,2,0,3,0,0,0,0,3,0,0,1,6,0,12,0,16,1,4,0,13,0,5,16,0,0,0,0,0,3,0,0,0,2,1,0,2,0,0,0,0,0,3,0,1,1,3,2,3,10,8,0,19,31,10,8,2,0,0,0,0,0,9,1,0,3,0,1,0,2,13,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,8,1,10,1,3,1,4,0,0,0,0,2,0,4,5,3,0
48,Schweizerische Volkspartei (SVP),This Jenny,2,1,5,1,5,1,2,11,3,1,1,0,0,0,0,0,0,1,5,0,2,0,4,5,1,0,1,2,2,40,1,1,13,0,0,0,14,0,2,5,0,0,0,0,4,7,0,19,2,16,1,12,0,12,7,8,4,0,5,37,21,0,0,6,4,2,8,6,0,0,0,0,21,0,0,0,1,0,0,24,3,5,0,1,3,5,3,0,0,36,130,15,2,1,0,1,6,7,0,0,13,0,5,6,5,0,2,0,24,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,13,2,8,12
49,Schweizerische Volkspartei (SVP),Thomas Fuchs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Schweizerische Volkspartei (SVP),Thomas Hurter,0,0,0,0,2,0,3,14,1,1,1,14,0,0,4,0,0,13,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,2,1,9,0,0,0,4,0,9,0,1,0,7,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,8,0,0,5,18,0,7,8,0,2,0,3,0,7,0,0,0,4,5,0,0,0,2,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,2,2,1,2,1,1,0,0,1,0,0,0,2,5,1,1
51,Schweizerische Volkspartei (SVP),Thomas Müller,0,1,1,0,0,1,4,15,0,0,0,13,0,1,1,0,0,0,0,1,2,2,2,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,2,0,0,0,0,0,3,1,2,2,2,1,4,3,0,0,3,1,0,1,0,0,0,2,0,3,0,4,3,0,0,0,2,0,3,2,1,1,10,7,0,0,15,61,0,7,4,0,0,0,0,0,0,1,0,0,0,5,0,0,0,4,0,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0
52,Schweizerische Volkspartei (SVP),Toni Bortoluzzi,0,0,0,0,0,4,18,16,1,0,14,12,0,2,0,0,0,2,8,2,2,2,1,0,0,1,0,3,2,2,3,0,0,0,0,0,8,0,1,0,9,0,0,0,13,2,0,2,0,5,0,6,0,6,4,16,3,0,3,16,8,0,0,1,11,0,2,4,0,0,4,2,2,1,6,4,2,0,0,9,0,0,1,2,0,15,13,3,0,30,25,9,6,12,1,2,1,1,0,4,0,0,1,0,26,0,1,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,2,0,0,0,1,0,0,0,0,2,3,0,0,5,1,11,2
53,Schweizerische Volkspartei (SVP),Toni Brunner,0,0,0,0,0,2,0,1,0,0,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,1,0,1,0,0,1,13,0,0,0,1,1,8,0,3,0,0,0,0,1,4,0,0,1,0,1,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,1,0,0,1,2,0,1,0,4,0,0,0,0,0,2,7,0,0,1,1,0,0,2,0,0,0,0,0,6,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,1,1,1,0,0,0,0,0,0,0,4,0,0,0,3,3,0,1
54,Schweizerische Volkspartei (SVP),Ueli Maurer,0,2,0,0,7,5,21,48,0,0,10,15,0,0,7,0,0,1,17,5,14,10,31,0,0,0,9,0,1,13,4,0,0,1,0,0,16,0,3,1,7,0,0,0,2,4,0,15,0,2,0,0,0,11,22,51,4,4,0,1,1,0,0,0,1,6,3,5,0,0,10,4,5,3,2,4,0,0,0,52,6,3,6,6,18,22,32,0,0,121,171,4,12,10,2,5,21,9,0,1,2,0,1,3,6,0,7,0,30,0,5,3,7,0,2,117,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,28,1,0,24,18,19,7
55,Schweizerische Volkspartei (SVP),Ulrich Giezendanner,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,1,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2,8,0,1,0,4,0,0,0,0,0,15,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,2,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2
56,Schweizerische Volkspartei (SVP),Ulrich Schlüer,0,0,0,0,0,0,3,1,1,0,5,1,0,1,0,0,0,0,1,3,0,0,0,0,0,1,6,1,1,2,2,0,0,0,5,2,0,1,2,0,1,7,0,0,0,2,0,1,1,16,0,3,0,0,2,6,2,0,3,4,10,0,0,3,0,3,1,1,0,0,0,1,2,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,8,10,0,1,2,0,1,0,0,0,8,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,2,0
57,Schweizerische Volkspartei (SVP),Walter Glur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,Schweizerische Volkspartei (SVP),Walter Wobmann,0,1,1,4,0,0,3,5,0,0,3,3,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,7,1,0,0,0,10,0,0,0,9,0,0,1,0,0,0,0,0,0,4,7,0,0,1,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,1,4,0,0,0,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5,0,0
59,Schweizerische Volkspartei (SVP),Yvette Estermann,0,0,0,0,0,0,0,4,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,4,0,1,0,0,0,0,0,0,6,0,0,3,3,0,1,2,1,0,5,0,2,0,3,0,2,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,2,0,0
60,Sozialdemokratische Partei der Schweiz (SP),Andrea Hämmerle,0,1,0,0,2,1,5,23,0,1,0,9,0,1,0,0,0,1,9,2,1,0,0,8,0,0,3,1,1,4,1,0,5,0,0,0,3,0,1,0,5,19,1,0,1,0,0,0,3,8,0,0,0,4,0,1,3,1,0,5,0,0,0,3,1,3,2,2,0,0,1,0,0,0,0,2,1,1,0,2,2,1,0,0,2,10,5,0,0,6,14,1,11,8,1,2,0,2,7,0,0,0,1,10,7,0,0,0,6,0,0,2,4,0,1,0,0,0,0,1,0,4,4,1,0,1,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,11,3
61,Sozialdemokratische Partei der Schweiz (SP),Andreas Gross,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,1,1,0,0,4,1,11,0,1,0,0,0,2,0,23,0,1,0,2,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,3,0,1,1,1,0,0,0,0,2,2,5,0,0,0,0,1,4,0,0,0,0,0,0,2,1,0,0,1,0,3,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,2
62,Sozialdemokratische Partei der Schweiz (SP),André Daguet,0,1,0,0,0,1,2,5,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,2,7,0,0,0,0,3,0,0,0,4,1,0,1,0,3,0,0,0,3,3,4,3,0,0,0,4,0,1,2,4,2,1,1,0,0,0,0,0,0,1,4,1,0,0,8,0,1,0,0,1,0,5,0,0,2,0,0,1,4,0,0,0,0,2,0,0,0,1,0,17,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0
63,Sozialdemokratische Partei der Schweiz (SP),Andy Tschümperlin,1,2,0,0,0,0,0,8,0,1,0,16,0,0,0,0,0,1,1,2,2,1,0,0,0,0,19,1,0,1,0,5,0,0,6,9,3,0,0,3,0,1,0,1,10,2,0,0,0,2,0,1,0,4,0,2,1,7,1,2,0,0,0,0,8,0,1,0,0,0,4,0,0,2,0,0,1,0,0,6,0,2,0,0,0,0,2,0,0,3,4,1,0,0,0,0,1,1,0,0,0,0,1,1,33,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,11,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,1,4,4,3,1
