,Phrase,Counts
233,"('grun', 'fraktion', 'teilt', 'antrag', 'mind')",22
234,"('bereit', 'beim', 'eintret', 'darauf', 'hingewies')",22
235,"('angenomm', 'liegt', 'schriftlich', 'bericht', 'kommission')",22
236,"('million', 'frank', 'pro', 'jahr', 'mehr')",22
237,"('bitt', 'deshalb', 'mehrheit', 'kommission', 'folg')",22
238,"('kommission', 'erhalt', 'kommission', 'beantragt', 'gegenstimm')",22
239,"('fdpliberal', 'fraktion', 'bitt', 'vorlag', 'einzutret')",22
240,"('sexuell', 'unversehrt', 'kind', 'abhang', 'person')",22
241,"('million', 'frank', 'ertrag', 'million', 'frank')",22
242,"('million', 'frank', 'beim', 'sach', 'betriebsaufwand')",22
243,"('frist', 'ausarbeit', 'vorlag', 'sinn', 'parlamentar')",21
244,"('ausarbeit', 'vorlag', 'sinn', 'parlamentar', 'initiativ')",21
245,"('volksinitiativ', 'gesichert', 'ahv', 'energi', 'statt')",21
246,"('deshalb', 'bitt', 'nam', 'grun', 'fraktion')",21
247,"('bitt', 'dah', 'nam', 'grun', 'fraktion')",21
248,"('bitt', 'dah', 'parlamentar', 'initiativ', 'folg')",21
249,"('jahr', 'million', 'frank', 'pro', 'jahr')",21
250,"('hor', 'wohl', 'allein', 'fehlt', 'glaub')",21
251,"('bundesrat', 'teilweis', 'befriedigt', 'beantragt', 'diskussion')",21
252,"('mehr', 'milliard', 'frank', 'pro', 'jahr')",21
253,"('massnahm', 'zivil', 'friedensforder', 'starkung', 'menschenrecht')",21
254,"('dan', 'le', 'domain', 'de', 'la')",21
255,"('million', 'frank', 'pro', 'jahr', 'kost')",21
256,"('bericht', 'kommission', 'beantragt', 'einstimm', 'annahm')",21
257,"('motion', 'bundesrat', 'beantragt', 'ebenfall', 'annahm')",21
258,"('kommission', 'beantragt', 'gegenstimm', 'motion', 'abzulehn')",21
259,"('artikel', 'absatz', 'buchstab', 'b', 'geht')",21
260,"('kommission', 'beantragt', 'deshalb', 'stimm', 'enthalt')",21
261,"('nam', 'mind', 'parlamentar', 'initiativ', 'folg')",21
262,"('mehrheit', 'kommission', 'folg', 'antrag', 'mind')",21
263,"('zusammenhang', 'too', 'big', 'to', 'fail')",21
264,"('rahm', 'too', 'big', 'to', 'fail')",21
265,"('nam', 'einstimm', 'kommission', 'vorlag', 'einzutret')",21
266,"('too', 'big', 'to', 'fail', 'probl')",21
267,"('massnahm', 'forder', 'fried', 'menschlich', 'sich')",21
268,"('minderheitsantrag', 'artikel', 'absatz', 'artikel', 'absatz')",21
269,"('bitt', 'deshalb', 'initiativ', 'ablehn', 'empfehl')",21
270,"('al', 'kaida', 'islam', 'staat', 'sowi')",21
271,"('islam', 'staat', 'sowi', 'verwandt', 'organisation')",21
272,"('sozialhilf', 'asylsuch', 'vorlauf', 'aufgenomm', 'fluchtling')",21
273,"('veroffentlicht', 'word', 'buro', 'festgestellt', 'herrn')",20
274,"('bitt', 'deshalb', 'antrag', 'mehrheit', 'zuzustimm')",20
275,"('mehrheit', 'zuzustimm', 'antrag', 'mind', 'abzulehn')",20
276,"('million', 'frank', 'pro', 'jahr', 'million')",20
277,"('frank', 'pro', 'jahr', 'million', 'frank')",20
278,"('schwerwieg', 'bedroh', 'inn', 'sich', 'bewalt')",20
279,"('bedroh', 'inn', 'sich', 'bewalt', 'ausserordent')",20
