Speaker,0,1,2,3,4,Min,Max
Thomas Fuchs,3.0,,,,,3.0,3.0
Thomas Hardegger,4.0,5.0,,,,4.0,5.0
Thomas Hefti,4.0,5.0,,,,4.0,5.0
Thomas Hurter,3.0,4.0,5.0,,,3.0,5.0
Thomas Maier,4.0,,,,,4.0,4.0
Thomas Matter,4.0,5.0,,,,4.0,5.0
Thomas Minder,4.0,5.0,,,,4.0,5.0
Thomas Müller,2.0,3.0,4.0,5.0,,2.0,5.0
Thomas Pfisterer,1.0,2.0,,,,1.0,2.0
Thomas Weibel,3.0,4.0,5.0,,,3.0,5.0
Thomas de Courten,4.0,5.0,,,,4.0,5.0
Thérèse Meyer-Kaelin,2.0,3.0,,,,2.0,3.0
Tiana Angelina Moser,3.0,4.0,5.0,,,3.0,5.0
Tim Guldimann,5.0,,,,,5.0,5.0
Toni Bortoluzzi,1.0,2.0,3.0,4.0,,1.0,4.0
Toni Brunner,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Toni Dettling,1.0,,,,,1.0,1.0
Toni Eberhard,1.0,,,,,1.0,1.0
Trix Heberlein,1.0,2.0,,,,1.0,2.0
