Speaker,0,1,2,3,4,Min,Max
Martin Landolt,3.0,4.0,5.0,,,3.0,5.0
Martin Naef,4.0,5.0,,,,4.0,5.0
Martin Schmid,4.0,5.0,,,,4.0,5.0
Martina Munz,4.0,5.0,,,,4.0,5.0
Matthias Aebischer,4.0,5.0,,,,4.0,5.0
Max Binder,1.0,2.0,3.0,4.0,,1.0,4.0
Max Chopard-Acklin,3.0,4.0,,,,3.0,4.0
Maximilian Reimann,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Maya Graf,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Micheline Calmy-Rey,1.0,2.0,3.0,,,1.0,3.0
Moritz Leuenberger,1.0,2.0,3.0,,,1.0,3.0
Nadine Masshardt,4.0,5.0,,,,4.0,5.0
Nadja Pieren,4.0,5.0,,,,4.0,5.0
Natalie Rickli,3.0,4.0,5.0,,,3.0,5.0
Norbert Hochreutener,2.0,3.0,,,,2.0,3.0
Olivier Feller,4.0,5.0,,,,4.0,5.0
Oskar Freysinger,2.0,3.0,4.0,,,2.0,4.0
Otto Ineichen,2.0,3.0,4.0,,,2.0,4.0
Otto Laubacher,1.0,2.0,,,,1.0,2.0
Pankraz Freitag,3.0,4.0,,,,3.0,4.0
Pascal Couchepin,1.0,2.0,3.0,,,1.0,3.0
Pascale Bruderer Wyss,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Paul Günter,1.0,2.0,,,,1.0,2.0
Paul Niederberger,3.0,4.0,,,,3.0,4.0
Paul Rechsteiner,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Peter Bieri,1.0,2.0,3.0,4.0,,1.0,4.0
Peter Briner,1.0,2.0,3.0,,,1.0,3.0
Peter Föhn,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Peter Keller,4.0,5.0,,,,4.0,5.0
Peter Malama,3.0,4.0,,,,3.0,4.0
Peter Schilliger,4.0,5.0,,,,4.0,5.0
Peter Spuhler,1.0,2.0,3.0,4.0,,1.0,4.0
Peter Vollmer,1.0,2.0,,,,1.0,2.0
Peter Weigelt,1.0,2.0,,,,1.0,2.0
Petra Gössi,4.0,5.0,,,,4.0,5.0
Philipp Hadorn,4.0,5.0,,,,4.0,5.0
Philipp Müller,2.0,3.0,4.0,5.0,,2.0,5.0
Philipp Stähelin,1.0,2.0,3.0,,,1.0,3.0
Pia Hollenstein,1.0,2.0,,,,1.0,2.0
Pierre Triponez,1.0,2.0,3.0,,,1.0,3.0
Pirmin Bischof,3.0,4.0,5.0,,,3.0,5.0
Pirmin Schwander,2.0,3.0,4.0,5.0,,2.0,5.0
Prisca Birrer-Heimo,3.0,4.0,5.0,,,3.0,5.0
Raphaël Comte,3.0,5.0,,,,3.0,5.0
Regula Rytz,4.0,5.0,,,,4.0,5.0
Remo Gysin,1.0,2.0,,,,1.0,2.0
René Imoberdorf,3.0,4.0,,,,3.0,4.0
Reto Wehrli,2.0,3.0,,,,2.0,3.0
Robert Keller,1.0,2.0,,,,1.0,2.0
Roberta Pantani,4.0,5.0,,,,4.0,5.0
Roberto Schmidt,3.0,5.0,,,,3.0,5.0
Roberto Zanetti,1.0,3.0,4.0,5.0,,1.0,5.0
Roger Nordmann,3.0,4.0,5.0,,,3.0,5.0
Roland Eberle,4.0,5.0,,,,4.0,5.0
Roland F. Borer,1.0,2.0,3.0,4.0,,1.0,4.0
Roland Rino Büchel,3.0,4.0,5.0,,,3.0,5.0
Rolf Büttiker,1.0,2.0,3.0,,,1.0,3.0
Rolf Escher,1.0,2.0,,,,1.0,2.0
Rolf Hegetschweiler,1.0,2.0,,,,1.0,2.0
Rolf Schweiger,1.0,2.0,3.0,,,1.0,3.0
Rosmarie Quadranti,4.0,5.0,,,,4.0,5.0
Rosmarie Zapfl,1.0,2.0,,,,1.0,2.0
Rudolf Joder,1.0,2.0,3.0,4.0,,1.0,4.0
Rudolf Rechsteiner,1.0,2.0,3.0,,,1.0,3.0
Rudolf Steiner,1.0,2.0,,,,1.0,2.0
Rudolf Strahm,1.0,2.0,,,,1.0,2.0
Ruedi Aeschbacher,1.0,2.0,3.0,,,1.0,3.0
Ruedi Lustenberger,1.0,2.0,3.0,4.0,,1.0,4.0
Ruedi Noser,2.0,3.0,4.0,5.0,,2.0,5.0
Ruth Genner,1.0,2.0,3.0,,,1.0,3.0
Ruth Humbel,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Ruth Metzler-Arnold,1.0,2.0,,,,1.0,2.0
Ruth-Gaby Vermot-Mangold,1.0,2.0,,,,1.0,2.0
Samuel Schmid,1.0,2.0,3.0,,,1.0,3.0
Sebastian Frehner,3.0,4.0,5.0,,,3.0,5.0
Sep Cathomas,2.0,3.0,,,,2.0,3.0
Silva Semadeni,4.0,5.0,,,,4.0,5.0
Silvia Schenker,2.0,3.0,4.0,5.0,,2.0,5.0
Simon Schenk,1.0,2.0,3.0,,,1.0,3.0
Simonetta Sommaruga,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Stefan Engler,4.0,5.0,,,,4.0,5.0
Stefan Müller-Altermatt,4.0,5.0,,,,4.0,5.0
Susanne Leutenegger Oberholzer,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Sylvia Flückiger-Bäni,3.0,4.0,5.0,,,3.0,5.0
Theo Maissen,1.0,2.0,3.0,,,1.0,3.0
Theophil Pfister,1.0,2.0,3.0,,,1.0,3.0
Therese Frösch,2.0,3.0,,,,2.0,3.0
This Jenny,1.0,2.0,3.0,4.0,,1.0,4.0
Thomas Aeschi,4.0,5.0,,,,4.0,5.0
Thomas Hardegger,4.0,5.0,,,,4.0,5.0
Thomas Hefti,4.0,5.0,,,,4.0,5.0
Thomas Hurter,3.0,4.0,5.0,,,3.0,5.0
Thomas Matter,4.0,5.0,,,,4.0,5.0
Thomas Minder,4.0,5.0,,,,4.0,5.0
Thomas Müller,2.0,3.0,4.0,5.0,,2.0,5.0
Thomas Pfisterer,1.0,2.0,,,,1.0,2.0
Thomas Weibel,3.0,4.0,5.0,,,3.0,5.0
Thomas de Courten,4.0,5.0,,,,4.0,5.0
Thérèse Meyer-Kaelin,2.0,3.0,,,,2.0,3.0
Tiana Angelina Moser,3.0,4.0,5.0,,,3.0,5.0
Toni Bortoluzzi,1.0,2.0,3.0,4.0,,1.0,4.0
Toni Brunner,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Trix Heberlein,1.0,2.0,,,,1.0,2.0
Ueli Leuenberger,2.0,3.0,4.0,,,2.0,4.0
