,Phrase,qui
237,"('kundinn', 'kund')",2.0345451703146488e-05
238,"('minderheitsantrag', 'abzulehn')",2.0213329855047737e-05
239,"('echt', 'fluchtling')",1.9744290426600056e-05
240,"('polit', 'akt')",1.9744290426600056e-05
241,"('bitt', 'vorlag')",1.9738675107141932e-05
242,"('bitt', 'fassung')",1.9719025799049578e-05
243,"('region', 'basel')",1.9687860929125956e-05
244,"('gemeinsam', 'sorgerecht')",1.9051145845781742e-05
245,"('vertreterinn', 'vertret')",1.8928044092278977e-05
246,"('armst', 'land')",1.856244927199546e-05
247,"('schweizer', 'aussenpolit')",1.856244927199546e-05
248,"('referendum', 'unterstellt')",1.840741846820264e-05
249,"('diskussion', 'kommission')",1.8122567861015047e-05
250,"('arbeitnehmerinn', 'arbeitnehm')",1.8021563397832204e-05
251,"('referendum', 'unterstell')",1.7913478527431272e-05
252,"('geni', 'minenraumpanz')",1.7476678008762296e-05
253,"('energi', 'schweiz')",1.7438085516165494e-05
254,"('expressis', 'verbis')",1.719741726713601e-05
255,"('sozial', 'krankenversicher')",1.7030430026871572e-05
256,"('kanton', 'zustand')",1.700212138350312e-05
257,"('de', 'facto')",1.6827170396557155e-05
258,"('beantragt', 'kommission')",1.628795470177467e-05
259,"('aktiv', 'sterbehilf')",1.6251941891106014e-05
260,"('bundesstrafgericht', 'bellinzona')",1.6251941891106014e-05
261,"('kaspar', 'villig')",1.6251941891106014e-05
262,"('erinner', 'ruf')",1.598353783150096e-05
263,"('arztinn', 'arzt')",1.5931206500149124e-05
264,"('sozial', 'okolog')",1.5931206500149124e-05
265,"('joseph', 'deiss')",1.5754401162001643e-05
266,"('einverstand', 'erklar')",1.5324889962465052e-05
267,"('steuerbefrei', 'existenzminimum')",1.5193239734882596e-05
268,"('bundesamt', 'landwirtschaft')",1.5189003160527194e-05
269,"('regierungsrat', 'kanton')",1.4908091866124336e-05
270,"('abgewies', 'asylbewerb')",1.4895918821690204e-05
271,"('offent', 'unternehm')",1.4835597194162936e-05
272,"('standort', 'schweiz')",1.4779894713039676e-05
273,"('redaktionell', 'ander')",1.4696870471029446e-05
274,"('schwierig', 'fall')",1.4696870471029446e-05
275,"('etcs', 'level')",1.4363848566838174e-05
276,"('sozial', 'wohlfahrt')",1.4363848566838174e-05
277,"('auslanderinn', 'ausland')",1.4207411690749979e-05
278,"('bundesamt', 'justiz')",1.4141456454202066e-05
279,"('verlass', 'partn')",1.4073242039308801e-05
280,"('kost', 'senk')",1.3775345444457955e-05
281,"('wesent', 'hoh')",1.375911648645649e-05
282,"('jugend', 'ausbild')",1.3744172402114018e-05
283,"('ressourcenstark', 'kanton')",1.3718736325337406e-05
284,"('polit', 'werbung')",1.3642633360915895e-05
285,"('erwag', 'zieh')",1.362593580843188e-05
286,"('besteuer', 'wirtschaft')",1.3467433562993645e-05
287,"('parlamentar', 'versamml')",1.3467433562993645e-05
288,"('eidgenoss', 'untersuchungsrichteramt')",1.3421547448148145e-05
289,"('freien', 'personenverkehr')",1.3421547448148145e-05
290,"('gewerb', 'kleinbetrieb')",1.3421547448148145e-05
291,"('pro', 'fall')",1.3421547448148145e-05
292,"('strukturiert', 'produkt')",1.3421547448148145e-05
293,"('unterschied', 'auffass')",1.3421547448148145e-05
294,"('ausserordent', 'schwierig')",1.3391237051492567e-05
295,"('bundesamt', 'migration')",1.323012781762915e-05
296,"('leib', 'leb')",1.3145825610350135e-05
297,"('bundesprasident', 'schmid')",1.2955291655898167e-05
298,"('euburgerinn', 'burg')",1.2955291655898167e-05
299,"('schutz', 'anlegerinn')",1.2955291655898167e-05
300,"('administrativ', 'aufwand')",1.2939202330853433e-05
301,"('frag', 'erschopf')",1.2856963150341812e-05
302,"('gefahr', 'besteht')",1.2856963150341812e-05
303,"('kantonal', 'hoheit')",1.2856963150341812e-05
304,"('chemisch', 'industri')",1.265762914902748e-05
305,"('ersuch', 'mind')",1.265762914902748e-05
306,"('wichtig', 'argument')",1.265762914902748e-05
307,"('vernehmlass', 'geschickt')",1.2618538430278855e-05
308,"('mind', 'menétreysavary')",1.2600014800646124e-05
309,"('offent', 'diskussion')",1.25718650250468e-05
310,"('rechnung', 'getrag')",1.2551584864304618e-05
311,"('betreff', 'land')",1.2480683368229096e-05
312,"('schweiz', 'burg')",1.2480683368229096e-05
313,"('wahrung', 'inn')",1.2480683368229096e-05
314,"('bildung', 'forschung')",1.2447149070865989e-05
315,"('million', 'frank')",1.2386488520608233e-05
316,"('fall', 'fall')",1.2313390620797764e-05
317,"('leistungsvereinbar', 'sbb')",1.2250225640367262e-05
318,"('klar', 'meinung')",1.2153858639361737e-05
319,"('nahesteh', 'person')",1.2143655223588088e-05
320,"('verfass', 'gesetz')",1.1987555093095545e-05
321,"('burg', 'partei')",1.1981378323611972e-05
322,"('privat', 'veranstalt')",1.1966444252996425e-05
323,"('bzw', 'prozent')",1.1942194700455655e-05
324,"('deutsch', 'deutlich')",1.1839826787880651e-05
325,"('festgestellt', 'herrn')",1.1839826787880651e-05
326,"('jugend', 'lehrstell')",1.1839826787880651e-05
327,"('relativ', 'einfach')",1.1700920500545551e-05
328,"('frank', 'schuld')",1.1612825881963436e-05
329,"('mehrheit', 'bevolker')",1.1604119358628285e-05
330,"('privatisier', 'swisscom')",1.1604119358628285e-05
331,"('per', 'se')",1.1576828465818418e-05
