,Speaker Party,Phrase,Counts,Freq,N,tf_idf
319,Schweizerische Volkspartei (SVP),"('svpfraktion', 'lehnt')",16.0,1,15,43.32880321763536
320,Schweizerische Volkspartei (SVP),"('illegal', 'migrant')",16.0,1,15,43.32880321763536
321,Schweizerische Volkspartei (SVP),"('sicht', 'svpfraktion')",16.0,1,15,43.32880321763536
322,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'steht')",16.0,1,15,43.32880321763536
323,Sozialdemokratische Partei der Schweiz (SP),"('rund', 'prozent')",106.0,10,15,42.979301459465425
324,Sozialdemokratische Partei der Schweiz (SP),"('schluss', 'gekomm')",106.0,10,15,42.979301459465425
327,Schweizerische Volkspartei (SVP),"('bereit', 'heut')",138.0,11,15,42.801380105929844
328,Sozialdemokratische Partei der Schweiz (SP),"('weshalb', 'bundesrat')",68.0,8,15,42.74538884072144
331,Sozialdemokratische Partei der Schweiz (SP),"('mocht', 'kurz')",56.0,7,15,42.679842914626214
332,Sozialdemokratische Partei der Schweiz (SP),"('ehrlich', 'gesagt')",56.0,7,15,42.679842914626214
335,Sozialdemokratische Partei der Schweiz (SP),"('versich', 'bundesrat')",21.0,2,15,42.31296343138756
337,Sozialdemokratische Partei der Schweiz (SP),"('kolleg', 'caroni')",32.0,4,15,42.296186879434224
339,Schweizerische Volkspartei (SVP),"('lang', 'spiess')",67.0,8,15,42.11678018129906
340,Schweizerische Volkspartei (SVP),"('einfach', 'sag')",67.0,8,15,42.11678018129906
341,Schweizerische Volkspartei (SVP),"('parlamentar', 'initiativ')",609.0,14,15,42.01665873555341
343,Schweizerische Volkspartei (SVP),"('davon', 'ausgeh')",82.0,9,15,41.88770114881124
344,Sozialdemokratische Partei der Schweiz (SP),"('darauf', 'hinweis')",82.0,9,15,41.88770114881124
345,Sozialdemokratische Partei der Schweiz (SP),"('bundesrat', 'ja')",82.0,9,15,41.88770114881124
348,Sozialdemokratische Partei der Schweiz (SP),"('buro', 'beantragt')",26.0,3,15,41.845385723286604
349,Schweizerische Volkspartei (SVP),"('vier', 'jahr')",186.0,12,15,41.50470054444302
350,Schweizerische Volkspartei (SVP),"('burgerinn', 'burg')",186.0,12,15,41.50470054444302
352,Sozialdemokratische Partei der Schweiz (SP),"('mocht', 'bitt')",66.0,8,15,41.48817152187669
356,Sozialdemokratische Partei der Schweiz (SP),"('burgerinn', 'burg')",185.0,12,15,41.28155699312881
358,Schweizerische Volkspartei (SVP),"('offent', 'beschaffungswes')",45.0,6,15,41.23308293433698
359,Sozialdemokratische Partei der Schweiz (SP),"('genet', 'untersuch')",45.0,6,15,41.23308293433698
362,Sozialdemokratische Partei der Schweiz (SP),"('herr', 'caroni')",31.0,4,15,40.97443103945191
364,Schweizerische Volkspartei (SVP),"('deshalb', 'bitt')",101.0,10,15,40.9519759189246
365,Sozialdemokratische Partei der Schweiz (SP),"('geht', 'ja')",101.0,10,15,40.9519759189246
367,Schweizerische Volkspartei (SVP),"('seit', 'jahr')",132.0,11,15,40.94045053610681
368,Sozialdemokratische Partei der Schweiz (SP),"('interess', 'daran')",80.0,9,15,40.866049901279254
369,Sozialdemokratische Partei der Schweiz (SP),"('bundesrat', 'motion')",80.0,9,15,40.866049901279254
374,Sozialdemokratische Partei der Schweiz (SP),"('partenair', 'tarifair')",15.0,1,15,40.62075301653315
375,Schweizerische Volkspartei (SVP),"('heut', 'morg')",100.0,10,15,40.546510810816436
376,Sozialdemokratische Partei der Schweiz (SP),"('sag', 'sei')",53.0,7,15,40.39342275848553
377,Sozialdemokratische Partei der Schweiz (SP),"('entscheid', 'fall')",53.0,7,15,40.39342275848553
378,Schweizerische Volkspartei (SVP),"('frank', 'pro')",181.0,12,15,40.38898278787197
381,Sozialdemokratische Partei der Schweiz (SP),"('legt', 'dar')",20.0,2,15,40.298060410845295
384,Schweizerische Volkspartei (SVP),"('daran', 'erinn')",64.0,8,15,40.23095420303194
385,Schweizerische Volkspartei (SVP),"('gleich', 'lang')",64.0,8,15,40.23095420303194
386,Schweizerische Volkspartei (SVP),"('nein', 'sag')",64.0,8,15,40.23095420303194
387,Sozialdemokratische Partei der Schweiz (SP),"('erneuerbar', 'energi')",64.0,8,15,40.23095420303194
388,Sozialdemokratische Partei der Schweiz (SP),"('mocht', 'bundesrat')",64.0,8,15,40.23095420303194
389,Sozialdemokratische Partei der Schweiz (SP),"('motion', 'ablehn')",64.0,8,15,40.23095420303194
391,Sozialdemokratische Partei der Schweiz (SP),"('betroff', 'person')",99.0,10,15,40.141045702708276
392,Sozialdemokratische Partei der Schweiz (SP),"('bund', 'kanton')",280.0,13,15,40.06823621938851
395,Sozialdemokratische Partei der Schweiz (SP),"('erst', 'mal')",78.0,9,15,39.84439865374728
396,Schweizerische Volkspartei (SVP),"('rund', 'milliard')",98.0,10,15,39.73558059460011
400,Schweizerische Volkspartei (SVP),"('leib', 'leb')",52.0,7,15,39.63128270643863
401,Sozialdemokratische Partei der Schweiz (SP),"('kommissionsmehr', 'unterstutz')",63.0,8,15,39.602345543609566
402,Sozialdemokratische Partei der Schweiz (SP),"('stadt', 'gemeind')",63.0,8,15,39.602345543609566
403,Sozialdemokratische Partei der Schweiz (SP),"('parlamentar', 'initiativ')",574.0,14,15,39.601908233510116
407,Sozialdemokratische Partei der Schweiz (SP),"('sozialdemokrat', 'fraktion')",36.0,5,15,39.55004239205195
408,Sozialdemokratische Partei der Schweiz (SP),"('mind', 'ii')",177.0,12,15,39.49640858261513
411,Schweizerische Volkspartei (SVP),"('postulat', 'abzulehn')",43.0,6,15,39.40050147058867
414,Sozialdemokratische Partei der Schweiz (SP),"('unternehmenssteuerreform', 'iii')",126.0,11,15,39.07952096628377
416,Schweizerische Volkspartei (SVP),"('neu', 'aufgab')",62.0,8,15,38.9737368841872
417,Sozialdemokratische Partei der Schweiz (SP),"('beitrag', 'leist')",62.0,8,15,38.9737368841872
418,Schweizerische Volkspartei (SVP),"('rund', 'prozent')",96.0,10,15,38.92465037838378
419,Sozialdemokratische Partei der Schweiz (SP),"('antrag', 'kommissionsmehr')",96.0,10,15,38.92465037838378
420,Sozialdemokratische Partei der Schweiz (SP),"('st', 'gall')",96.0,10,15,38.92465037838378
422,Schweizerische Volkspartei (SVP),"('schon', 'gesagt')",76.0,9,15,38.82274740621529
423,Sozialdemokratische Partei der Schweiz (SP),"('viel', 'dank')",76.0,9,15,38.82274740621529
424,Schweizerische Volkspartei (SVP),"('annahm', 'motion')",125.0,11,15,38.76936603797993
428,Schweizerische Volkspartei (SVP),"('ja', 'schon')",95.0,10,15,38.519185270275614
430,Sozialdemokratische Partei der Schweiz (SP),"('komm', 'sag')",42.0,6,15,38.484210738714516
431,Sozialdemokratische Partei der Schweiz (SP),"('frau', 'standeratin')",35.0,5,15,38.45143010338384
432,Sozialdemokratische Partei der Schweiz (SP),"('unbegleitet', 'minderjahr')",35.0,5,15,38.45143010338384
433,Sozialdemokratische Partei der Schweiz (SP),"('antrag', 'mind')",557.0,14,15,38.42902941823194
434,Sozialdemokratische Partei der Schweiz (SP),"('bitt', 'deshalb')",172.0,12,15,38.38069082604408
437,Schweizerische Volkspartei (SVP),"('mehrheit', 'finanzkommission')",61.0,8,15,38.34512822476482
438,Sozialdemokratische Partei der Schweiz (SP),"('anerkannt', 'fluchtling')",61.0,8,15,38.34512822476482
441,Sozialdemokratische Partei der Schweiz (SP),"('standerat', 'engl')",29.0,4,15,38.33091935948727
442,Sozialdemokratische Partei der Schweiz (SP),"('gesagt', 'herr')",29.0,4,15,38.33091935948727
447,Sozialdemokratische Partei der Schweiz (SP),"('vier', 'jahr')",171.0,12,15,38.15754727472987
448,Sozialdemokratische Partei der Schweiz (SP),"('macht', 'sinn')",123.0,11,15,38.14905618137225
450,Sozialdemokratische Partei der Schweiz (SP),"('erst', 'lini')",94.0,10,15,38.11372016216745
451,Sozialdemokratische Partei der Schweiz (SP),"('sag', 'gern')",50.0,7,15,38.107002602344835
461,Sozialdemokratische Partei der Schweiz (SP),"('mehrheit', 'spfraktion')",14.0,1,15,37.91270281543094
462,Sozialdemokratische Partei der Schweiz (SP),"('sicht', 'spfraktion')",14.0,1,15,37.91270281543094
464,Schweizerische Volkspartei (SVP),"('macht', 'sinn')",122.0,11,15,37.838901253068414
473,Sozialdemokratische Partei der Schweiz (SP),"('gern', 'bereit')",41.0,6,15,37.56792000684036
474,Sozialdemokratische Partei der Schweiz (SP),"('conseil', 'fédéral')",41.0,6,15,37.56792000684036
475,Sozialdemokratische Partei der Schweiz (SP),"('ganz', 'wichtig')",121.0,11,15,37.528746324764576
476,Schweizerische Volkspartei (SVP),"('mind', 'i')",168.0,12,15,37.48811662078724
477,Sozialdemokratische Partei der Schweiz (SP),"('frank', 'pro')",168.0,12,15,37.48811662078724
484,Schweizerische Volkspartei (SVP),"('muss', 'schon')",49.0,7,15,37.34486255029794
485,Sozialdemokratische Partei der Schweiz (SP),"('darauf', 'aufmerksam')",49.0,7,15,37.34486255029794
486,Sozialdemokratische Partei der Schweiz (SP),"('geht', 'einfach')",49.0,7,15,37.34486255029794
487,Sozialdemokratische Partei der Schweiz (SP),"('sag', 'mal')",49.0,7,15,37.34486255029794
492,Sozialdemokratische Partei der Schweiz (SP),"('ja', 'schon')",92.0,10,15,37.302789945951126
494,Schweizerische Volkspartei (SVP),"('eidgenoss', 'zollverwalt')",59.0,8,15,37.08791090592007
495,Schweizerische Volkspartei (SVP),"('antrag', 'mind')",537.0,14,15,37.049171988492915
